"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Backorder","Unit Price","Extended Price"
"1","1","296-44860-1-ND","LM5161PWPT","IC REG BCK FLYBCK ADJ 14HTSSOP","","0","4.97000","$4.97"
"2","2","497-13073-1-ND","VNH5019ATR-E","IC MTR DRV 5.5-24V MULTIPWRSO-30","","0","7.49900","$15.0"
"3","1","513-1690-1-ND","DR74-680-R","FIXED IND 68UH 1.03A 265 MOHM","","0","1.91000","$1.91"
"4","100","P3.0KDECT-ND","ERA-2AED302X","RES SMD 3K OHM 0.5% 1/16W 0402","","0","0.07350","$7.35"
"5","100","YAG2303CT-ND","RT0402BRD072KL","RES SMD 2K OHM 0.1% 1/16W 0402","","0","0.11590","$11.59"
"6","100","311-2235-1-ND","RT0402DRE0718K2L","RES SMD 18.2KOHM 0.5% 1/16W 0402","","0","0.06510","$6.51"
"7","100","311-2218-1-ND","RT0402DRE07115KL","RES SMD 115K OHM 0.5% 1/16W 0402","","0","0.09320","$9.32"
"8","100","RNCF0402DTE78K7CT-ND","RNCF0402DTE78K7","RES 78K7 0.063W 0.5% 25PPM 0402","","0","0.04620","$4.62"
"9","20","587-3248-1-ND","UMK316BBJ106ML-T","CAP CER 10UF 50V X5R 1206","","0","0.34400","$6.88"
"10","100","399-1032-1-ND","C0402C102K5RACTU","CAP CER 1000PF 50V X7R 0402","","0","0.01080","$1.08"
"11","100","490-4914-1-ND","GCM155R71H222KA37D","CAP CER 2200PF 50V X7R 0402","","0","0.02280","$2.28"
"12","100","587-3497-1-ND","UMK105ABJ474KV-F","CAP CER 0.47UF 50V X5R 0402","","0","0.09810","$9.81"
"13","100","RNCP1206FTD1K00CT-ND","RNCP1206FTD1K00","RES 1K OHM 1% 1/2W 1206","","0","0.03580","$3.58"
"","","","","","","","Subtotal","$84.90"
